t(s)  y(m)     v(m/s)   a(m/s²)
0.0   150.000  0.000    -4.000  
0.5   149.516  -1.903   -3.619  
1.0   148.127  -3.625   -3.275  
1.5   145.918  -5.184   -2.963  
2.0   142.968  -6.594   -2.681  
2.5   139.347  -7.869   -2.426  
3.0   135.119  -9.024   -2.195  
3.5   130.341  -10.068  -1.986  
4.0   125.067  -11.013  -1.797  
4.5   119.343  -11.869  -1.626  
5.0   113.212  -12.642  -1.472  
5.5   106.713  -13.343  -1.331  
6.0   99.881   -13.976  -1.205  
6.5   92.747   -14.549  -1.090  
7.0   85.340   -15.068  -0.986  
7.5   77.687   -15.537  -0.893  
8.0   69.810   -15.962  -0.808  
8.5   61.732   -16.346  -0.731  
9.0   53.470   -16.694  -0.661  
9.5   45.043   -17.009  -0.598  
10.0  36.466   -17.293  -0.541  
